stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
564,1070DR,Marco di Cavalese,,46.290229,11.477097,1070
565,1070IR,Cavalese. Case Itea,,46.289558,11.469406,1070
566,1150BS,Carano. Via Giovanelli 11,,46.292293,11.442654,1070
567,1150MU,Carano. Municipio,,46.292223,11.440482,1070
568,1150,Carano,,46.291791,11.438788,1070
569,1150BA,Carano. Via Giovanelli,,46.289851,11.438585,1070
570,1150GB,Carano. Garnì Belvedere,,46.287394,11.435850,1070
572,1152BP,Villaggio Veronza Bv.Pizzeria,,46.287844,11.428645,1152
574,1152VP,Villaggio Veronza Via Pale,,46.288770,11.431444,1152
575,1152HV,V.Veronza. Htl Veronza,,46.289866,11.433196,1152
578,0001ST,Trento. Via Valsugana,,46.068328,11.136284,0001
579,4010,Ponte Alto,,46.073788,11.150435,4010
580,4015,Pine'. Bivio,,46.081906,11.194966,1100
581,4021,Sille,,46.086064,11.202928,1100
582,4022BL,Madrano. Belvedere,,46.084669,11.210385,4022
584,4022,Madrano,,46.085925,11.214309,4022
585,4022VV,Madrano. Via Della Vizza,,46.091339,11.212176,4022
586,4023,Nogare',,46.103925,11.211295,4023
587,4029,S. Mauro. Bivio,,46.116608,11.222359,4024
588,4024,Tressilla,,46.128797,11.237223,4024
589,4025UP,Baselga. Municipio,,46.130018,11.243837,4025
590,4025,Baselga di Pine'. Lago,,46.135502,11.249832,4025
591,4032,Sternigo. Bivio,,46.141639,11.257918,4032
592,4043,Rizzolaga,,46.146548,11.264075,4043
593,4044,Campolongo,,46.149595,11.269497,4044
594,4045BS,Piazze. Bivio,,46.155325,11.277562,4045
595,4045,Piazze di Bedollo,,46.155637,11.288073,4045
596,4047,Castellani-Regnana Bivio,,46.159770,11.298662,4046
597,4046,Centrale di Bedollo,,46.160829,11.302257,4046
598,4050,Bedollo,,46.164986,11.301338,4050
599,4050BV,Bedollo. Bivio,,46.170025,11.312436,4050
600,4050VL,Bedollo. Villaggio,,46.172910,11.317048,4050
601,4060VV,Brusago. Via Verdi,,46.175773,11.321437,4060
602,4060,Brusago,,46.182124,11.325856,4060
603,4060CV,Brusago-Civ. 4,,46.186574,11.329590,4060
604,4060MG,Brusago. Maso Gabart,,46.194275,11.327783,4060
605,4065,Sette Fontane. Bivio,,46.199009,11.327735,1141
606,1141,Sveseri,,46.206442,11.323661,1141
607,4050RR,Bedollo,,46.164987,11.301522,4050
608,4045RR,Piazze di Bedollo,,46.155859,11.287329,4045
